Jahr,Bundesland,Hochschulart,Faechergruppe,Wert_EUR
2019-01-01T00:00:00.000Z,Rheinland-Pfalz,Kunsthochschulen,"Mathematik, Naturwissenschaften",
2022-01-01T00:00:00.000Z,Baden-Württemberg,Medizinische Einrichtungen der Universitäten,"Rechts-, Wirtschafts- und Sozialwissenschaften",
2019-01-01T00:00:00.000Z,Hamburg,Fachhochschulen,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",4188000.0
2021-01-01T00:00:00.000Z,Rheinland-Pfalz,Universitäten (ohne Medizinische Einrichtungen),Geisteswissenschaften,7.9906E7
2021-01-01T00:00:00.000Z,Sachsen-Anhalt,Pädagogische Hochschulen,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",
2022-01-01T00:00:00.000Z,Hessen,Medizinische Einrichtungen der Universitäten,Humanmedizin/Gesundheitswissenschaften,2.056366E9
2021-01-01T00:00:00.000Z,Saarland,Kunsthochschulen,"Kunst, Kunstwissenschaft",2181000.0
2020-01-01T00:00:00.000Z,Sachsen-Anhalt,Kunsthochschulen,Ingenieurwissenschaften,594000.0
2021-01-01T00:00:00.000Z,Schleswig-Holstein,Kunsthochschulen,Geisteswissenschaften,
2020-01-01T00:00:00.000Z,Bayern,Fachhochschulen,"Rechts-, Wirtschafts- und Sozialwissenschaften",1.93388E8
2021-01-01T00:00:00.000Z,Hamburg,Kunsthochschulen,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",
2022-01-01T00:00:00.000Z,Berlin,Theologische Hochschulen,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",
2020-01-01T00:00:00.000Z,Bremen,Verwaltungsfachhochschulen,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",
2020-01-01T00:00:00.000Z,Bremen,Pädagogische Hochschulen,Geisteswissenschaften,
2022-01-01T00:00:00.000Z,Schleswig-Holstein,Pädagogische Hochschulen,Ingenieurwissenschaften,
2022-01-01T00:00:00.000Z,Thüringen,Pädagogische Hochschulen,Humanmedizin/Gesundheitswissenschaften,
2020-01-01T00:00:00.000Z,Brandenburg,Medizinische Einrichtungen der Universitäten,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",
2021-01-01T00:00:00.000Z,Nordrhein-Westfalen,Universitäten (ohne Medizinische Einrichtungen),"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",3.9281E7
2019-01-01T00:00:00.000Z,Nordrhein-Westfalen,Verwaltungsfachhochschulen,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",
2019-01-01T00:00:00.000Z,Schleswig-Holstein,Medizinische Einrichtungen der Universitäten,"Rechts-, Wirtschafts- und Sozialwissenschaften",
2019-01-01T00:00:00.000Z,Niedersachsen,Pädagogische Hochschulen,"Rechts-, Wirtschafts- und Sozialwissenschaften",
2020-01-01T00:00:00.000Z,Thüringen,Pädagogische Hochschulen,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",
2022-01-01T00:00:00.000Z,Sachsen-Anhalt,Theologische Hochschulen,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),4410000.0
2022-01-01T00:00:00.000Z,Niedersachsen,Kunsthochschulen,Humanmedizin/Gesundheitswissenschaften,
2019-01-01T00:00:00.000Z,Berlin,Fachhochschulen,"Kunst, Kunstwissenschaft",2.2243E7
2019-01-01T00:00:00.000Z,Schleswig-Holstein,Universitäten (ohne Medizinische Einrichtungen),"Kunst, Kunstwissenschaft",3314000.0
2020-01-01T00:00:00.000Z,Mecklenburg-Vorpommern,Fachhochschulen,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),4.1146E7
2020-01-01T00:00:00.000Z,Bremen,Medizinische Einrichtungen der Universitäten,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),
2020-01-01T00:00:00.000Z,Baden-Württemberg,Medizinische Einrichtungen der Universitäten,"Kunst, Kunstwissenschaft",
2020-01-01T00:00:00.000Z,Niedersachsen,Medizinische Einrichtungen der Universitäten,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),
2019-01-01T00:00:00.000Z,Bremen,Verwaltungsfachhochschulen,Sport,
2022-01-01T00:00:00.000Z,Bayern,Theologische Hochschulen,Geisteswissenschaften,5745000.0
2020-01-01T00:00:00.000Z,Brandenburg,Kunsthochschulen,Geisteswissenschaften,
2021-01-01T00:00:00.000Z,Saarland,Fachhochschulen,Ingenieurwissenschaften,1.8773E7
2020-01-01T00:00:00.000Z,Sachsen,Universitäten (ohne Medizinische Einrichtungen),Sport,1.7781E7
2019-01-01T00:00:00.000Z,Nordrhein-Westfalen,Fachhochschulen,"Mathematik, Naturwissenschaften",3.6424E7
2019-01-01T00:00:00.000Z,Bremen,Theologische Hochschulen,Ingenieurwissenschaften,
2021-01-01T00:00:00.000Z,Saarland,Universitäten (ohne Medizinische Einrichtungen),"Mathematik, Naturwissenschaften",4.1829E7
2020-01-01T00:00:00.000Z,Sachsen,Fachhochschulen,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),1.00456E8
2021-01-01T00:00:00.000Z,Niedersachsen,Theologische Hochschulen,Sport,
2020-01-01T00:00:00.000Z,Rheinland-Pfalz,Fachhochschulen,Sport,
2022-01-01T00:00:00.000Z,Sachsen-Anhalt,Universitäten (ohne Medizinische Einrichtungen),"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",9973000.0
2020-01-01T00:00:00.000Z,Hessen,Universitäten (ohne Medizinische Einrichtungen),Humanmedizin/Gesundheitswissenschaften,
2021-01-01T00:00:00.000Z,Schleswig-Holstein,Universitäten (ohne Medizinische Einrichtungen),"Mathematik, Naturwissenschaften",7.704E7
2020-01-01T00:00:00.000Z,Berlin,Pädagogische Hochschulen,Humanmedizin/Gesundheitswissenschaften,
